CVE_ENT,CVE_LOC,CVE_MUN,COM_ID,NOM_ENT,NOM_MUN,NOM_LOC,ALTITUD,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,PROM_HNV,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,GRAPROES,GRAPROES_F,GRAPROES_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,PRO_OCUP_C,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,TAMLOC,deci_lon,deci_lat,cve_loc,cve_mun,cve_ent,no_loc,no_mun,no_ent,id_row
02,020010001,02001,2_1_1,Baja California,Ensenada,Ensenada,18,330652,167339,163313,12783,6277,6506,317465,160863,156602,307762,156006,151756,273431,139115,134316,258228,131571,126657,243353,124237,119116,14578,7265,7313,29456,14483,14973,35070,17205,17865,15203,7544,7659,14875,7334,7541,40132,19854,20278,89702,41392,22414,18978,97.59,72020,231133,27095,1.84,207961,104521,103440,114097,58709,55388,287475,146664,140811,16137,8039,8098,2096,974,1122,10,7,3,2055,956,1099,2088,10,2047,4869,6021,2969,3052,14776,7213,6047,1879,2525,2577,33766,10524,20737,1723,6281,1671,6670,4823,278988,5675,2843,2832,1219,587,632,830,375,455,12287,6189,6098,17521,8974,8547,535,207,328,2964,1571,1393,5477,2894,2583,11633,5988,5645,24051,12774,11277,10205,4433,5772,56778,28554,28224,140428,71627,68801,10.96,10.96,10.97,174405,75485,98920,97141,63214,33927,171967,74674,97293,2438,811,1627,49219,279479,168588,21860,13292,6385,63196,1293,8161,2635,98369,138088,36697,196325,58387,515,74307,105736,37531,68205,328381,109029,219352,121224,105810,116055,100641,105736,10196,5218,328381,3.11,0.82,103880,1227,29954,75164,4436,16443,84240,104518,605,102763,100419,2360,40237,5404,103549,1129,104052,1065,101957,173,103327,26301,360,101495,89104,64886,77979,6008,13056,69181,99195,58843,57624,99966,78368,61476,40227,21422,3136,2725,22418,623,12,-116.59513388888888,31.80894388888889,1,1,2,1,1,1,1
02,020010035,02001,2_1_35,Baja California,Ensenada,Ejido 18 de Marzo (El Álamo),1105,6,2,4,0,0,0,6,2,4,6,2,4,6,2,4,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,200,0,3,3,3,5,1,4,1,1,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,1,0,1,1,0,1,0,0,0,5.83,4.5,6.5,4,0,4,2,2,0,4,0,4,0,0,0,3,3,2,0,0,0,1,0,0,0,1,5,0,6,0,0,0,4,1,3,6,2,4,34,4,34,4,4,29,1,6,1.5,0.38,2,2,1,3,0,0,4,1,3,2,0,2,2,0,1,3,1,3,1,2,1,1,1,0,0,0,3,0,1,3,3,0,0,3,0,2,0,0,1,1,4,1,1,-116.05269222222222,31.593771944444445,35,1,2,2,1,1,2
02,020010059,02001,2_1_59,Baja California,Ensenada,San José (La Calentura) [Viñedos Agrícolas],203,8,3,5,0,0,0,8,3,5,8,3,5,8,3,5,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,166.67,0,7,1,1.33,0,0,0,8,3,5,3,1,2,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,4,2,2,1,1,0,8.13,10,7,8,3,5,0,0,0,8,3,5,0,0,0,0,8,8,0,0,0,0,0,0,0,3,4,1,7,0,0,1,3,1,2,8,5,3,6,3,6,3,3,3,0,8,2.67,0.73,3,0,0,3,0,0,3,3,0,3,0,0,1,2,2,0,2,1,2,0,2,1,0,3,1,1,2,1,2,3,3,1,0,3,0,2,0,1,0,0,2,0,1,-116.03826444444444,31.273324166666665,59,1,2,2,1,1,6
02,020010083,02001,2_1_83,Baja California,Ensenada,El Dátil,125,9,1,8,0,0,0,9,1,8,9,1,8,9,1,8,8,0,8,7,0,7,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,2,0,2,0,0,0,0,800,1,8,0,0,0,0,0,9,1,8,5,1,4,4,0,4,2,0,2,0,0,0,2,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,0,4,0,0,0,1,0,1,0,0,0,1,0,1,4.13,0,4.13,9,1,8,0,0,0,9,1,8,0,0,0,9,0,0,0,0,0,0,0,0,0,7,2,0,3,0,0,6,6,0,6,9,0,9,6,6,6,6,6,0,0,9,1.5,0.64,3,2,5,0,1,3,1,4,1,5,0,0,4,1,0,5,5,0,4,0,0,4,0,2,0,0,1,0,2,2,2,0,0,5,0,2,0,0,2,0,5,0,1,-116.12943638888888,31.236856111111113,83,1,2,2,1,1,10
02,020010095,02001,2_1_95,Baja California,Ensenada,Ejido Eréndira,16,1711,819,892,102,32,70,1609,787,822,1548,749,799,1329,649,680,1241,601,640,1142,547,595,89,51,38,191,87,104,212,102,110,88,48,40,99,54,45,209,99,110,444,182,76,106,108.91,470,1132,109,2.35,1107,529,578,581,279,302,1440,698,742,94,45,49,98,52,46,0,0,0,98,52,46,97,0,97,208,21,12,9,102,33,51,12,30,23,277,76,159,20,50,7,63,11,1328,47,28,19,2,1,1,5,2,3,71,44,27,32,18,14,5,1,4,70,34,36,75,40,35,198,85,113,236,123,113,83,36,47,294,144,150,302,139,163,7.71,7.79,7.64,836,296,540,492,353,139,816,294,522,20,2,18,338,1373,434,33,12,6,902,0,5,2,378,794,157,730,615,0,365,517,141,376,1711,457,1254,729,517,716,504,517,114,98,1711,3.31,1.02,462,27,210,279,81,90,318,460,29,439,430,50,221,62,292,190,384,105,328,5,290,140,7,404,348,219,349,35,114,140,410,123,129,458,174,331,41,34,62,26,266,9,4,-116.37139499999999,31.27332361111111,95,1,2,2,1,1,11
02,020010114,02001,2_1_114,Baja California,Ensenada,Francisco Zarco (Valle de Guadalupe),343,4334,2072,2262,249,143,106,4085,1929,2156,3931,1848,2083,3409,1605,1804,3189,1512,1677,2968,1396,1572,223,116,107,453,208,245,533,230,303,220,93,127,221,116,105,516,256,260,1055,573,246,327,109.17,1145,2818,371,2.47,2452,1217,1235,1711,776,935,3549,1694,1855,340,138,202,96,41,55,0,0,0,96,41,55,96,0,96,182,55,12,43,300,117,131,34,58,44,622,168,471,21,114,19,56,41,3395,130,66,64,27,13,14,29,10,19,138,73,65,104,59,45,21,8,13,148,64,84,253,93,160,382,180,202,554,259,295,185,90,95,804,374,430,884,443,441,8.06,8.31,7.83,2050,726,1324,1353,879,474,2043,724,1319,7,2,5,1027,3301,1823,74,40,8,950,411,15,9,1038,1829,540,2125,1285,4,916,1335,392,943,4295,1247,3048,1711,1339,1599,1227,1335,222,150,4295,3.22,0.99,1273,46,528,791,241,237,841,1253,66,1216,1081,103,559,184,1108,192,1188,131,1098,17,1112,412,32,1124,981,645,895,88,330,512,1123,332,376,1200,731,780,185,121,145,104,543,46,5,-116.57957777777777,32.096984722222224,114,1,2,3,1,1,13
02,020010118,02001,2_1_118,Baja California,Ensenada,Licenciado Gustavo Díaz Ordaz,50,1640,812,828,122,58,64,1516,753,763,1447,717,730,1170,580,590,1072,520,552,968,463,505,104,56,48,242,117,125,253,132,121,98,60,38,104,57,47,238,117,121,430,80,33,47,101.97,566,1022,50,2.35,806,413,393,813,387,426,1264,640,624,174,73,101,354,167,187,6,4,2,348,163,185,344,6,338,696,2,2,0,57,26,23,15,11,12,161,30,109,22,24,3,43,23,1404,58,30,28,31,18,13,14,4,10,57,34,23,33,20,13,18,9,9,125,68,57,142,73,69,242,102,140,188,84,104,80,38,42,228,117,111,160,89,71,6.37,6.64,6.1,752,273,479,418,307,111,751,273,478,1,0,1,597,1040,356,6,6,0,669,10,0,2,364,689,117,613,592,1,423,473,88,385,1640,282,1358,727,473,723,469,473,230,24,1640,3.47,1.5,430,36,293,173,181,93,192,448,18,412,386,54,149,36,116,347,120,346,110,7,115,273,13,267,220,74,191,14,72,142,290,52,21,430,66,197,11,9,133,35,376,20,4,-116.15444388888889,30.971335555555555,118,1,2,3,1,1,14
02,020010121,02001,2_1_121,Baja California,Ensenada,La Huerta,959,110,55,55,4,1,3,106,54,52,97,48,49,83,42,41,75,39,36,73,38,35,12,9,3,11,3,8,13,4,9,8,3,5,2,1,1,19,12,7,27,9,5,4,100,35,68,7,2.6,106,53,53,4,2,2,96,48,48,0,0,0,47,27,20,0,0,0,47,27,20,46,0,46,85,0,0,0,10,1,4,1,5,1,6,2,3,1,1,1,0,4,94,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,5,1,4,3,1,2,8,4,4,26,13,13,10,2,8,14,10,4,13,9,4,7.32,7.82,6.78,57,27,30,26,15,11,57,27,30,0,0,0,19,91,0,0,0,0,90,1,1,0,40,31,12,17,33,0,60,32,11,21,110,45,65,57,32,54,29,32,22,3,110,3.44,1.15,29,3,14,18,3,8,21,31,1,25,1,7,12,0,15,17,21,11,18,0,16,17,1,29,22,9,15,0,2,18,28,0,1,24,2,21,0,0,2,7,30,2,1,-116.13271888888889,31.934517500000002,121,1,2,3,1,1,15
02,020010123,02001,2_1_123,Baja California,Ensenada,Ejido Ignacio López Rayón (Los Olivos),137,128,57,71,3,3,0,125,54,71,117,52,65,110,51,59,104,49,55,101,47,54,8,2,6,7,1,6,12,3,9,6,2,4,3,2,1,10,3,7,29,20,7,13,124.56,24,86,18,2.53,69,31,38,57,24,33,111,50,61,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,9,1,2,1,27,7,22,2,4,2,4,2,87,6,2,4,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,9,5,4,12,6,6,20,8,12,17,8,9,3,1,2,25,11,14,26,14,12,7.34,7.47,7.22,61,16,45,49,35,14,60,16,44,1,0,1,25,102,72,2,3,0,26,0,0,0,21,78,11,89,18,0,20,48,4,44,128,8,120,106,48,106,48,48,44,14,128,2.67,0.64,46,0,26,20,2,2,42,46,0,46,1,0,36,6,39,7,45,1,45,0,39,7,1,43,42,29,39,3,5,4,42,6,0,43,2,38,1,1,2,3,40,2,1,-116.26252222222222,31.2956325,123,1,2,3,1,1,16
02,020010124,02001,2_1_124,Baja California,Ensenada,Isla de Cedros,0,1233,582,651,50,22,28,1183,560,623,1143,543,600,982,466,516,923,435,488,864,405,459,53,23,30,148,71,77,159,77,82,59,31,28,59,30,29,124,50,74,309,149,81,68,111.86,310,816,107,2.13,853,390,463,376,192,184,1075,507,568,50,27,23,3,1,2,0,0,0,3,1,2,3,0,3,5,109,45,64,70,25,35,9,11,8,171,44,115,9,30,4,30,13,982,20,10,10,2,1,1,1,0,1,53,26,27,23,7,16,0,0,0,18,5,13,18,5,13,65,36,29,108,49,59,52,21,31,222,93,129,418,207,211,9.69,9.91,9.49,645,257,388,337,209,128,637,255,382,8,2,6,119,1112,913,111,9,1,140,1,8,0,282,524,175,1037,107,0,77,395,110,285,1179,288,891,630,396,596,362,395,198,36,1179,2.98,0.76,391,3,118,276,13,40,341,392,2,389,300,5,324,69,390,2,394,0,387,0,391,106,1,380,330,214,279,29,53,202,381,191,153,382,184,338,29,94,8,5,146,2,4,-115.19277777777778,28.095555555555553,124,1,2,3,1,1,17
