CVE_ENT,CVE_LOC,CVE_MUN,NOM_ENT,NOM_MUN,NOM_LOC,POBTOT,deci_lon,deci_lat
02,020010001,02001,Baja California,Ensenada,Ensenada,330652,-116.59513388888888,31.80894388888889
02,020010035,02001,Baja California,Ensenada,Ejido 18 de Marzo (El Álamo),6,-116.05269222222222,31.593771944444445
02,020010059,02001,Baja California,Ensenada,San José (La Calentura) [Viñedos Agrícolas],8,-116.03826444444444,31.273324166666665
02,020010083,02001,Baja California,Ensenada,El Dátil,9,-116.12943638888888,31.236856111111113
02,020010095,02001,Baja California,Ensenada,Ejido Eréndira,1711,-116.37139499999999,31.27332361111111
02,020010114,02001,Baja California,Ensenada,Francisco Zarco (Valle de Guadalupe),4334,-116.57957777777777,32.096984722222224
02,020010118,02001,Baja California,Ensenada,Licenciado Gustavo Díaz Ordaz,1640,-116.15444388888889,30.971335555555555
02,020010121,02001,Baja California,Ensenada,La Huerta,110,-116.13271888888889,31.934517500000002
02,020010123,02001,Baja California,Ensenada,Ejido Ignacio López Rayón (Los Olivos),128,-116.26252222222222,31.2956325
02,020010124,02001,Baja California,Ensenada,Isla de Cedros,1233,-115.19277777777778,28.095555555555553
02,020010127,02001,Baja California,Ensenada,Jatay,5,-116.85496222222221,32.02642611111111
02,020010135,02001,Baja California,Ensenada,Ejido López Zamora,31,-116.17886250000001,31.1028625
02,020010139,02001,Baja California,Ensenada,Rodolfo Sánchez Taboada (Maneadero),27969,-116.57149055555556,31.72355083333333
02,020010149,02001,Baja California,Ensenada,El Milagro,33,-116.5432511111111,32.08848444444445
02,020010151,02001,Baja California,Ensenada,La Misión,1122,-116.85094555555555,32.09341166666667
02,020010155,02001,Baja California,Ensenada,Díaz [Rancho],11,-116.61212777777777,31.711624999999998
02,020010184,02001,Baja California,Ensenada,Coronel Esteban Cantú,545,-116.64096888888889,31.7052275
02,020010186,02001,Baja California,Ensenada,Ejido Punta Colnett (Punta Colonet),3095,-116.21029916666667,31.070360555555556
02,020010190,02001,Baja California,Ensenada,Real del Castillo Nuevo (Ojos Negros),2707,-116.27099555555556,31.91009111111111
02,020010191,02001,Baja California,Ensenada,Real del Castillo Viejo,5,-116.34830055555555,32.00006166666667
02,020010194,02001,Baja California,Ensenada,Rincón de Guadalupe,9,-116.21214472222222,31.209005555555557
02,020010195,02001,Baja California,Ensenada,Ejido Rodolfo Sánchez Taboada (El Calvario),291,-116.21461444444445,31.291030555555558
02,020010230,02001,Baja California,Ensenada,San Simón,16,-116.52113833333333,31.917723055555555
02,020010242,02001,Baja California,Ensenada,Santo Tomás,395,-116.40687416666667,31.551543055555555
02,020010243,02001,Baja California,Ensenada,San Vicente,5068,-116.25033527777778,31.326623333333334
02,020010247,02001,Baja California,Ensenada,El Sauzal de Rodríguez,11371,-116.69870305555555,31.896220555555555
02,020010254,02001,Baja California,Ensenada,Cuatro Cuatros,10,-116.73463638888889,31.947340555555556
02,020010261,02001,Baja California,Ensenada,El Tule,13,-116.5013675,31.900328055555555
02,020010271,02001,Baja California,Ensenada,Villa de Juárez (San Antonio de las Minas),893,-116.65817777777778,31.96937694444444
02,020010278,02001,Baja California,Ensenada,Agua Caliente,3,-115.13555194444446,30.671655555555557
02,020010289,02001,Baja California,Ensenada,Arroyo del Sauz (El Aserradero),10,-115.94829416666667,32.00422138888889
02,020010293,02001,Baja California,Ensenada,Rancho Granados Collins,12,-116.45183444444444,31.56471388888889
02,020010329,02001,Baja California,Ensenada,La Bufadora,100,-116.71386472222223,31.722886666666664
02,020010371,02001,Baja California,Ensenada,Las Arboledas,11,-116.53994777777777,31.90729888888889
02,020010385,02001,Baja California,Ensenada,Los Cipreses,14,-116.6647038888889,31.951798888888888
02,020010432,02001,Baja California,Ensenada,Rancho Castellanos,9,-116.24245583333334,31.308942222222225
02,020010462,02001,Baja California,Ensenada,Rancho Parma,7,-116.34487416666666,31.993128333333335
02,020010478,02001,Baja California,Ensenada,Llano Colorado,9,-116.15898194444445,31.250274444444443
02,020010491,02001,Baja California,Ensenada,Ejido Francisco R. Serrano (Valle San Matías),274,-115.5435825,31.32949138888889
02,020010520,02001,Baja California,Ensenada,Héroes de la Independencia (Llano Colorado),863,-115.89377194444445,31.61248888888889
02,020010523,02001,Baja California,Ensenada,Ignacio Zaragoza,72,-116.48634944444444,32.19537666666666
02,020010542,02001,Baja California,Ensenada,Leyes de Reforma (El Rodeo),75,-115.81848694444444,31.54022527777778
02,020010544,02001,Baja California,Ensenada,Rancho Percebú,15,-114.70205583333333,30.817072222222222
02,020010547,02001,Baja California,Ensenada,Leyes de Reforma (El Rodeo),21,-115.81437666666666,31.52855611111111
02,020010564,02001,Baja California,Ensenada,El Manzo,11,-116.62266416666667,31.978947777777776
02,020010585,02001,Baja California,Ensenada,El Mogor,6,-116.60245944444443,32.03558777777778
02,020010604,02001,Baja California,Ensenada,Ojo de Agua,11,-116.24336166666667,31.339894722222223
02,020010611,02001,Baja California,Ensenada,Punta Final (Villa Mar y Sol),8,-114.30903444444444,29.740352222222224
02,020010617,02001,Baja California,Ensenada,El Porvenir (Guadalupe),1806,-116.62327166666665,32.07765055555556
02,020010626,02001,Baja California,Ensenada,Los Malcriados,5,-116.47050416666667,31.63631638888889
02,020010645,02001,Baja California,Ensenada,Punta Cabras,23,-116.43985166666667,31.327240555555555
02,020010677,02001,Baja California,Ensenada,El Ramajal,67,-116.6248311111111,31.68560111111111
02,020010678,02001,Baja California,Ensenada,El Aguaje,15,-116.63718333333334,31.702062777777776
02,020010684,02001,Baja California,Ensenada,Campo la Roca,14,-114.70704111111111,30.710641111111112
02,020010701,02001,Baja California,Ensenada,Rodeo Cota,9,-115.89654861111111,32.03203111111111
02,020010732,02001,Baja California,Ensenada,El Sauco,14,-116.38873055555557,31.543278333333333
02,020010736,02001,Baja California,Ensenada,Puerto San Isidro,109,-116.40258611111112,31.28922777777778
02,020010759,02001,Baja California,Ensenada,Comunidad Indígena de Santa Catarina,190,-115.82779138888888,31.654508333333332
02,020010769,02001,Baja California,Ensenada,San Marcos,13,-116.44364055555556,32.14187027777778
02,020010838,02001,Baja California,Ensenada,Pocitos (Valle de la Trinidad),52,-115.77771722222222,31.389276388888888
02,020010848,02001,Baja California,Ensenada,Campo Zaguaro,55,-114.70759694444445,30.71829861111111
02,020010858,02001,Baja California,Ensenada,Campo Rivera,4,-116.88363916666667,32.04806305555555
02,020010861,02001,Baja California,Ensenada,El Salto,19,-116.77984277777777,32.039498888888886
02,020010878,02001,Baja California,Ensenada,El Olivo,12,-116.50478166666667,31.782611666666664
02,020010892,02001,Baja California,Ensenada,Puertecitos,24,-114.64032555555556,30.350953611111112
02,020010909,02001,Baja California,Ensenada,Rancho Zamora (Parcela Cuatrocientos Veintiséis),45,-116.5961775,31.696176666666666
02,020010935,02001,Baja California,Ensenada,Lázaro Cárdenas (Valle de la Trinidad),3381,-115.73418138888889,31.404478055555554
02,020010942,02001,Baja California,Ensenada,Uruapan,694,-116.43984416666667,31.623483333333333
02,020010958,02001,Baja California,Ensenada,La Huerta (Ejido Nacionalista),9,-116.56094194444444,31.75730972222222
02,020011015,02001,Baja California,Ensenada,Emiliano Zapata,47,-116.51971833333333,32.14266416666667
02,020011022,02001,Baja California,Ensenada,La Gloria,16,-116.62565749999999,32.01698
02,020011025,02001,Baja California,Ensenada,Poblado Héroes de Chapultepec,2360,-116.16487583333334,30.981760277777777
02,020011041,02001,Baja California,Ensenada,Lomas de Mendoza,98,-116.52168583333334,31.678507500000002
02,020011048,02001,Baja California,Ensenada,Playa México [Campo],7,-114.69813555555555,30.651885555555555
02,020011065,02001,Baja California,Ensenada,La Providencia,1604,-116.15875055555556,30.9693075
02,020011080,02001,Baja California,Ensenada,Papá Fernández [Campo],12,-114.40455250000001,29.826989166666667
02,020011101,02001,Baja California,Ensenada,Tepeyac,7,-116.50857694444444,32.116353611111116
02,020011115,02001,Baja California,Ensenada,Aguacaliente,24,-116.660695,31.71794722222222
02,020011121,02001,Baja California,Ensenada,Agua Dulce,13,-116.60723722222221,31.55295472222222
02,020011128,02001,Baja California,Ensenada,Agua Viva,26,-116.43004361111112,31.89754111111111
02,020011145,02001,Baja California,Ensenada,Arroyo de León (Ejido Kiliwas),31,-115.64421055555556,31.26603861111111
02,020011148,02001,Baja California,Ensenada,Alfredo V. Bonfil,294,-116.12635388888889,31.1316575
02,020011162,02001,Baja California,Ensenada,Ampliación el Porvenir,13,-116.64852916666668,32.056331111111106
02,020011169,02001,Baja California,Ensenada,De los Reyes,12,-116.51436583333333,31.903367777777778
02,020011170,02001,Baja California,Ensenada,Arce (Ejido Nacionalista),64,-116.59312416666666,31.744705555555555
02,020011183,02001,Baja California,Ensenada,Bahía Santa María [Campo],7,-114.69864333333334,30.741522500000002
02,020011197,02001,Baja California,Ensenada,Boca San José,12,-116.53323583333334,31.446571388888888
02,020011201,02001,Baja California,Ensenada,Rancho Bonito,38,-116.74657277777779,31.98007972222222
02,020011238,02001,Baja California,Ensenada,Serena [Campo],13,-114.64468500000001,30.376628055555557
02,020011251,02001,Baja California,Ensenada,Sánchez (Ejido Nacionalista),53,-116.60588055555554,31.723858055555553
02,020011266,02001,Baja California,Ensenada,San Antonio Necua (Cañada de los Encinos),200,-116.49812833333334,32.102627777777776
02,020011267,02001,Baja California,Ensenada,Cañada del Trigo,12,-116.603945,32.1115225
02,020011280,02001,Baja California,Ensenada,Cimarrón [Campo],9,-114.63322249999999,30.418799166666666
02,020011297,02001,Baja California,Ensenada,Colonia Costa Azul,157,-116.60742111111111,31.743481666666668
02,020011299,02001,Baja California,Ensenada,El Coyote,4,-116.13381000000001,31.916359166666666
02,020011303,02001,Baja California,Ensenada,Cristina [Campo],5,-114.65016750000001,30.52944638888889
02,020011309,02001,Baja California,Ensenada,Cuatro Milpas,337,-116.67264583333333,31.89570361111111
02,020011334,02001,Baja California,Ensenada,Delicias [Campo],4,-114.70511944444445,30.704341944444444
02,020011341,02001,Baja California,Ensenada,Diamante [Campo],4,-114.69498916666667,30.674634444444447
02,020011345,02001,Baja California,Ensenada,Gutiérrez Polanco (Rancho Panchos),5,-114.7092525,30.865753611111113
02,020011362,02001,Baja California,Ensenada,Los Encinos,31,-116.64471861111112,31.986785
02,020011373,02001,Baja California,Ensenada,La Esmeralda [Campo],9,-114.69662138888889,30.68467138888889
02,020011404,02001,Baja California,Ensenada,Kachirisky [Rancho],46,-116.60040277777777,32.09753861111111
02,020011414,02001,Baja California,Ensenada,La Grulla,34,-116.4601,31.625846111111112
02,020011436,02001,Baja California,Ensenada,Ejido Jamau,8,-115.70651694444445,31.493870833333336
02,020011444,02001,Baja California,Ensenada,La Jolla [Campo Turístico],137,-116.66852138888889,31.714685
02,020011489,02001,Baja California,Ensenada,Las Minas,6,-116.43242222222223,31.321889444444444
02,020011521,02001,Baja California,Ensenada,La Chuparrosa,6,-116.48083333333334,31.865555555555556
02,020011603,02001,Baja California,Ensenada,Playa Curvina (Campo Speedys),11,-114.64108416666667,30.368536944444443
02,020011616,02001,Baja California,Ensenada,Playa Punta Loma [Campo],6,-114.69680861111111,30.68150888888889
02,020011654,02001,Baja California,Ensenada,Poblado Puerta Trampa,317,-116.20519055555556,31.911862499999998
02,020011661,02001,Baja California,Ensenada,El Puerto de Santo Tomás,15,-116.68092861111111,31.553051944444444
02,020011663,02001,Baja California,Ensenada,Los Pulpos [Campo],6,-114.66977583333333,30.5810925
02,020011687,02001,Baja California,Ensenada,Rancho de Dios,9,-116.60408972222221,31.72781833333333
02,020011700,02001,Baja California,Ensenada,Rancho Viejo,14,-116.787305,32.07943138888889
02,020011707,02001,Baja California,Ensenada,Ejido Nativos del Valle de Mexicali,8,-116.3856438888889,31.4454
02,020011738,02001,Baja California,Ensenada,El Sauce,21,-116.52413055555556,31.676335555555557
02,020011740,02001,Baja California,Ensenada,Salsipuedes [Inmobiliaria],5,-116.79578222222221,31.984862222222223
02,020011812,02001,Baja California,Ensenada,San Miguel (Cíbolas de Mar),205,-116.72439083333333,31.906791944444443
02,020011814,02001,Baja California,Ensenada,San Miguel,10,-116.49676138888888,31.634645
02,020011825,02001,Baja California,Ensenada,San Pedro [Campo],4,-114.7045863888889,30.701106944444444
02,020011870,02001,Baja California,Ensenada,Ejido Santa Rosa,149,-116.74499944444445,32.025821666666666
02,020011919,02001,Baja California,Ensenada,Toros Pintos,20,-116.66483055555557,32.04768111111111
02,020011957,02001,Baja California,Ensenada,El Vergel [Campo],19,-114.70058666666667,30.695183055555557
02,020011962,02001,Baja California,Ensenada,Villarino (Campo Villarino) [Campamento Turístico],44,-116.66945416666667,31.717746388888887
02,020011991,02001,Baja California,Ensenada,Los Encinitos,8,-116.45269611111111,31.893399444444444
02,020011995,02001,Baja California,Ensenada,Buenos Aires,15,-116.45987416666667,31.896635
02,020012005,02001,Baja California,Ensenada,Alborada [Fraccionamiento],16,-116.56932888888889,31.791755000000002
02,020012007,02001,Baja California,Ensenada,Lomas del Escorpión,36,-116.56071694444444,31.792639444444447
02,020012013,02001,Baja California,Ensenada,Gustavo Salgado,19,-116.56714,31.790134722222223
02,020012111,02001,Baja California,Ensenada,Rancho Maymes,6,-116.23322,31.92142527777778
02,020012134,02001,Baja California,Ensenada,Los Alamitos,10,-116.50836194444445,31.77123472222222
02,020012142,02001,Baja California,Ensenada,Buena Vista,342,-116.8478711111111,32.102092222222225
02,020012146,02001,Baja California,Ensenada,La Palma,9,-116.8228725,32.09986777777778
02,020012147,02001,Baja California,Ensenada,Rancho Nuevo,17,-116.7942463888889,32.081808333333335
02,020012151,02001,Baja California,Ensenada,Punta Piedra,30,-116.88363861111112,32.08324777777778
02,020012154,02001,Baja California,Ensenada,Mal Paso,7,-116.88193944444444,32.08553027777778
02,020012157,02001,Baja California,Ensenada,Puerto Salina,47,-116.87838694444444,32.060090833333334
02,020012158,02001,Baja California,Ensenada,Rancho Torres,30,-116.87172944444444,32.05903972222222
02,020012160,02001,Baja California,Ensenada,Úrsulo Galván,99,-116.87556694444444,32.03625916666667
02,020012162,02001,Baja California,Ensenada,La Salina,29,-116.87261083333333,32.056598611111106
02,020012178,02001,Baja California,Ensenada,Nuevo Centro de Población Ejidal el Pípila,77,-116.48975472222223,31.69685777777778
02,020012183,02001,Baja California,Ensenada,Rancho Cañón Buena Vista (El Zorrillo),8522,-116.51401222222222,31.671088333333334
02,020012219,02001,Baja California,Ensenada,Yokakiul,13,-115.81829277777777,31.659404166666665
02,020012221,02001,Baja California,Ensenada,Playa Dorada [Campo],74,-116.65479222222223,31.722294166666664
02,020012223,02001,Baja California,Ensenada,Punta Estero,32,-116.62989666666665,31.695082777777777
02,020012224,02001,Baja California,Ensenada,Rincón Punta Banda [Rincón de Ballenas],4,-116.67150944444445,31.7183225
02,020012230,02001,Baja California,Ensenada,Puente los Novatos (La Presa),6,-116.32131638888889,31.305706666666666
02,020012231,02001,Baja California,Ensenada,El Vado,25,-116.25560361111111,31.336249166666665
02,020012233,02001,Baja California,Ensenada,San Blasito (Rancho Arce),15,-116.25911444444445,31.334855555555553
02,020012317,02001,Baja California,Ensenada,Todo Santos,88,-116.56190277777777,31.777033333333332
02,020012335,02001,Baja California,Ensenada,Rancho Rendón,41,-116.08365111111111,31.095766944444442
02,020012435,02001,Baja California,Ensenada,Rancho González,16,-116.65285666666668,32.05623472222222
02,020012440,02001,Baja California,Ensenada,Parcela Treinta y Dos,199,-116.6309161111111,32.08661305555556
02,020012443,02001,Baja California,Ensenada,Parcela Setenta y Cuatro,47,-116.63315555555555,32.083803055555556
02,020012444,02001,Baja California,Ensenada,Parcela Sesenta y Siete,11,-116.64562000000001,32.08575305555556
02,020012445,02001,Baja California,Ensenada,Parcela Setenta y Siete,50,-116.64695222222223,32.08451027777778
02,020012455,02001,Baja California,Ensenada,Rancho Carmelita,8,-116.65467916666667,32.05400972222222
02,020012464,02001,Baja California,Ensenada,El Papalote [Rancho],9,-116.58678611111111,32.068510833333335
02,020012465,02001,Baja California,Ensenada,El Rosario,6,-116.58051305555556,32.07582027777778
02,020012472,02001,Baja California,Ensenada,María del Rosario,13,-116.53150194444444,32.10220694444445
02,020012487,02001,Baja California,Ensenada,Ejido Ley Federal de Reforma Agraria (El Tigre),87,-116.73271,31.94878138888889
02,020012488,02001,Baja California,Ensenada,El Milagro,10,-116.73543027777778,31.963649722222222
02,020012502,02001,Baja California,Ensenada,Villas de San Miguel,68,-116.73816666666667,31.906741666666665
02,020012506,02001,Baja California,Ensenada,Penélope [Mina],8,-116.65587111111111,31.96473111111111
02,020012509,02001,Baja California,Ensenada,Rancho Pueblito,8,-116.6431963888889,31.969446666666666
02,020012514,02001,Baja California,Ensenada,Quinta María,5,-116.62815694444444,31.977713888888886
02,020012522,02001,Baja California,Ensenada,Rancho Toscano,17,-116.64627583333333,31.983777222222223
02,020012536,02001,Baja California,Ensenada,Las Orquídeas,14,-116.60648916666666,32.0301825
02,020012539,02001,Baja California,Ensenada,Lucio Blanco [Granjas Agrícolas],410,-116.66190194444445,31.979433333333333
02,020012584,02001,Baja California,Ensenada,La Morita,9,-116.66736722222223,32.02441361111111
02,020012590,02001,Baja California,Ensenada,Villanueva [Rancho],29,-116.64788222222222,31.977124166666666
02,020012611,02001,Baja California,Ensenada,La Victoria II,19,-116.53690722222223,31.679328333333334
02,020012691,02001,Baja California,Ensenada,Baja Mar San Diego,134,-116.87128194444443,32.0197125
02,020012693,02001,Baja California,Ensenada,Ejido Ensenada,16,-116.86614888888889,32.04494722222222
02,020012729,02001,Baja California,Ensenada,El Conquistador,16,-116.55336305555555,31.87010888888889
02,020012776,02001,Baja California,Ensenada,Playa Saldamando,3,-116.75449027777778,31.928319444444444
02,020012788,02001,Baja California,Ensenada,Ingeniero Cuauhtémoc Cárdenas Solórzano,18,-116.18374250000001,31.289185000000003
02,020012818,02001,Baja California,Ensenada,El Chiripa,32,-115.72315805555556,31.342274444444442
02,020012820,02001,Baja California,Ensenada,Rincón San Miguel,25,-115.73952555555556,31.34074
02,020012823,02001,Baja California,Ensenada,Hogar de Niños el Oasis,30,-115.6420475,31.363248611111114
02,020012870,02001,Baja California,Ensenada,El Veladero (Ejido Nacionalista),612,-116.54480083333333,31.70734472222222
02,020012904,02001,Baja California,Ensenada,Cuatro Casas,5,-116.24040777777778,30.934551944444443
02,020012948,02001,Baja California,Ensenada,San Gregorio,26,-116.45136916666667,31.89783472222222
02,020012963,02001,Baja California,Ensenada,El Poste,11,-116.26112333333333,31.936477777777778
02,020012978,02001,Baja California,Ensenada,Rancho Aguacaliente (Baja Country Club),132,-116.53459416666666,31.764161666666666
02,020013031,02001,Baja California,Ensenada,Rancho Dolores,11,-115.72070027777778,31.396066944444446
02,020013119,02001,Baja California,Ensenada,Ejido Benito Juárez,128,-116.08347388888889,31.09273861111111
02,020013122,02001,Baja California,Ensenada,Ejido 27 de Enero,495,-116.20153861111112,31.087761944444445
02,020013138,02001,Baja California,Ensenada,San Telmo,9,-116.14535388888889,30.97484083333333
02,020013139,02001,Baja California,Ensenada,Cañada de San Jacinto,3,-116.26806388888889,31.419154444444445
02,020013151,02001,Baja California,Ensenada,El Escondido,32,-116.67071361111111,31.936771666666665
02,020013152,02001,Baja California,Ensenada,Estación Victoria,21,-116.67137861111111,31.935455555555556
02,020013164,02001,Baja California,Ensenada,Ampliación Lomitas (El Triángulo),5,-116.54051805555555,31.9001275
02,020013170,02001,Baja California,Ensenada,Campo Número Siete,17,-116.71178305555556,31.737170555555558
02,020013171,02001,Baja California,Ensenada,Rancho Packard,61,-116.69622222222223,31.72983222222222
